Player,Span,Mat,Team
V Sehwag,2014-2015,25,Kings XI Punjab
M Shahrukh Khan,2021-2023,33,Kings XI Punjab
AR Sharma,2024-2024,11,Kings XI Punjab
I Sharma,2017-2017,6,Kings XI Punjab
JM Sharma,2022-2024,40,Kings XI Punjab
MM Sharma,2016-2018,37,Kings XI Punjab
Shashank Singh,2024-2024,14,Kings XI Punjab
Shivam Sharma,2014-2015,5,Kings XI Punjab
Shivam Singh,2024-2024,1,Kings XI Punjab
MW Short,2023-2023,6,Kings XI Punjab
Sikandar Raza,2023-2024,9,Kings XI Punjab
VRV Singh,2008-2010,19,Kings XI Punjab
OF Smith,2022-2022,6,Kings XI Punjab
RS Sodhi,2010-2010,3,Kings XI Punjab
S Sohal,2008-2010,11,Kings XI Punjab
BB Sran,2018-2018,6,Kings XI Punjab
S Sreesanth,2008-2010,28,Kings XI Punjab
SJ Srivastava,2010-2011,14,Kings XI Punjab
TM Srivastava,2008-2009,7,Kings XI Punjab
MP Stoinis,2016-2018,19,Kings XI Punjab
Sunny Singh,2011-2011,6,Kings XI Punjab
Swapnil Singh,2016-2017,5,Kings XI Punjab
A Taide,2023-2024,9,Kings XI Punjab
R Tewatia,2017-2017,3,Kings XI Punjab
SN Thakur,2015-2015,1,Kings XI Punjab
J Theron,2010-2010,7,Kings XI Punjab
MK Tiwary,2018-2018,5,Kings XI Punjab
AJ Tye,2018-2019,20,Kings XI Punjab
PC Valthaty,2011-2013,21,Kings XI Punjab
CV Varun,2019-2019,1,Kings XI Punjab
M Vijay,2015-2016,25,Kings XI Punjab
GC Viljoen,2019-2019,6,Kings XI Punjab
M Vohra,2013-2017,45,Kings XI Punjab
Yuvraj Singh,2008-2018,51,Kings XI Punjab
B Akhil,2011-2011,1,Kochi Tuskers Kerala
Y Gnaneswara Rao,2011-2011,2,Kochi Tuskers Kerala
RV Gomez,2011-2011,11,Kochi Tuskers Kerala
BJ Hodge,2011-2011,14,Kochi Tuskers Kerala
RA Jadeja,2011-2011,14,Kochi Tuskers Kerala
KM Jadhav,2011-2011,6,Kochi Tuskers Kerala
DPMD Jayawardene,2011-2011,13,Kochi Tuskers Kerala
M Klinger,2011-2011,4,Kochi Tuskers Kerala
VVS Laxman,2011-2011,3,Kochi Tuskers Kerala
BB McCullum,2011-2011,13,Kochi Tuskers Kerala
